Artists_Id,Popularities,Followers,Num_Albums,Page_rank,Closeness_centralities,Degree_centralities
4hW4aa5Qgw9sgPMQesH64h,0.2,4.958631080764433e-06,0.0027548209366391185,0.00014451480764197927,0.3217110573042776,0.0010035122930255895
6K8JBs64Wx8sRqqk6hfnho,0.08,1.1883429605317814e-06,0.0,0.00014759393694755774,0.30586249232658075,0.0010035122930255895
5T0MSzX9RC5NA6gAI6irSn,0.7,0.0025291719291354363,0.010101010101010102,0.0010410182487594973,0.39434111594776416,0.015052684395383842
5kP1rZbHyBqGEg2NgwRCK4,0.16,3.978788294216864e-05,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
5tN6fQFvbiTYubJ9okxkft,0.29,6.69793305027004e-06,0.0027548209366391185,0.00014761869014129407,0.3101945525291829,0.0010035122930255895
3t5QLYg3fqvohxXt7q1niX,0.36,0.0005425433801896963,0.0009182736455463728,0.00034808531949779957,0.32822793148880103,0.004515805318615153
3Mcii5XWf6E0lrY3Uky4cA,0.78,0.05661888123560012,0.02295684113865932,0.0006279072891010845,0.3646843549862763,0.0095333667837431
34EP7KEpOjXcM2TCat1ISk,0.72,0.024733986727505507,0.027548209366391185,0.0018127528707859491,0.3681196896933875,0.02558956347215253
63yxbmTv02xJM38aWnRDWT,0.02,1.4044053169921053e-07,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
1GwxXgEc6oxCKQ5wykWXFs,0.5,0.0011418031289502275,0.004591368227731864,0.0008434765600215776,0.36256139712570495,0.014049172102358252
5lz7VyiWw6HajIhoVNfvPN,0.02,3.132904168674696e-07,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
3JzjGlJcZDcwbYuw8Aak3R,0.31,4.234822186622348e-06,0.0,0.0002274590973279346,0.3097125097125097,0.002007024586051179
3HVmU0sqKyj5QmJ5gTYvVA,0.06,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
77FYfkPAqtQbys6ZQludpu,0.04,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
4IJczjB0fJ04gs4uvP0Fli,0.75,0.014459184578506095,0.011937557392102846,0.000288890877146539,0.33389177416652704,0.002508780732563974
22ob9hztfLcFp8WOa6FRQK,0.06,1.5016333773992509e-06,0.015610651974288337,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
7ubeztZyclXfeIExQVaK4M,0.0,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
3etQyCmhwVq3MCsOWAqgSq,0.14,1.461661841454091e-05,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
